Row ID,Order ID,Order Date,Order Quantity,Sales,Discount,Profit,Unit Price,Customer Name,Country,Region,Customer Segment,Product Category,Product Sub-Category,Product Name
43,4132,5/28/2011,5,14.76,0.01,1.32,2.88,Aaron Bergman,CAN,Nunavut,Corporate,Office Supplies,Labels,Avery 49
8234,20513,7/7/2009,13,42.27,0.01,4.56,2.84,Aaron Bergman,CAN,West,Corporate,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent� Tank-Style Highlighters
8300,36262,7/27/2010,23,164.02,0.03,-47.64,6.68,Aaron Bergman,CAN,West,Corporate,Office Supplies,Paper,Xerox 1968
8301,36262,7/27/2010,23,136.81,0.01,-30.51,5.68,Aaron Bergman,CAN,West,Corporate,Office Supplies,"Scissors, Rulers and Trimmers",Acme� Preferred Stainless Steel Scissors
8302,36262,7/27/2010,26,4701.69,0,1148.9,205.99,Aaron Bergman,CAN,West,Corporate,Technology,Telephones and Communication,V70
8317,39682,11/9/2010,43,2337.89,0.09,729.34,55.48,Aaron Bergman,CAN,West,Corporate,Office Supplies,Paper,Xerox 194
8359,54019,7/1/2009,35,4233.15,0.08,1219.87,120.97,Aaron Bergman,CAN,West,Corporate,Technology,Office Machines,Canon S750 Color Inkjet Printer
8398,CA-2011-156587,3/7/2011,1,48.712,0.2,5.4801,48.712,Aaron Bergman,US,Washington,Consumer,Furniture,Chairs,"Global Push Button Manager's Chair, Indigo"
8398,CA-2011-156587,3/7/2011,3,17.94,0,4.6644,5.98,Aaron Bergman,US,Washington,Consumer,Office Supplies,Art,Newell 330
8398,CA-2011-156587,3/7/2011,3,242.94,0,4.8588,80.98,Aaron Bergman,US,Washington,Consumer,Office Supplies,Storage,"Carina 42""Hx23 3/4""W Media Storage Unit"
8398,CA-2011-152905,2/19/2011,2,12.624,0.2,-2.5248,6.312,Aaron Bergman,US,Texas,Consumer,Office Supplies,Storage,Akro Stacking Bins
8398,CA-2013-140935,11/11/2013,2,221.98,0,62.1544,110.99,Aaron Bergman,US,Oklahoma,Consumer,Technology,Phones,Samsung Convoy 3
8398,CA-2013-140935,11/11/2013,2,341.96,0,54.7136,170.98,Aaron Bergman,US,Oklahoma,Consumer,Furniture,Bookcases,"Sauder Facets Collection Library, Sky Alder Finish"
2882,27559,10/30/2011,38,465.9,0.05,79.34,12.28,Aaron Hawkins,CAN,Atlantic,Home Office,Office Supplies,Paper,Xerox 1933
3281,20737,12/25/2011,10,1410.93,0.08,-317.48,140.98,Aaron Hawkins,CAN,Quebec,Home Office,Furniture,Bookcases,"Sauder Forest Hills Library, Woodland Oak Finish"
3378,20737,12/25/2011,15,3364.248,0.1,-693.23,286.85,Aaron Hawkins,CAN,Quebec,Home Office,Furniture,Tables,Riverside Furniture Stanwyck Manor Table Series
3400,26949,8/15/2009,48,460.69,0.06,-103.48,9.48,Aaron Hawkins,CAN,Quebec,Home Office,Furniture,Office Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7"
3410,30150,10/4/2010,30,443.46,0.06,193.12,15.57,Aaron Hawkins,CAN,Quebec,Home Office,Office Supplies,Envelopes,Park Ridge� Embossed Executive Business Envelopes
4494,37863,2/24/2011,27,305.05,0.04,23.12,10.98,Aaron Hawkins,CAN,Ontario,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",Fiskars� Softgrip Scissors
6723,10662,5/12/2011,45,283.13,0.08,-141.26,6.48,Aaron Hawkins,CAN,Yukon,Home Office,Office Supplies,Paper,Xerox 1930
6786,16102,12/13/2009,25,13255.93,0.02,4089.27,500.98,Aaron Hawkins,CAN,Yukon,Home Office,Furniture,Chairs & Chairmats,Global Troy� Executive Leather Low-Back Tilter
7187,46662,12/29/2011,8,57.22,0.07,-27.72,6.48,Aaron Hawkins,CAN,West,Home Office,Office Supplies,Paper,Xerox 21
7188,46662,12/29/2011,33,162,0.01,45.84,4.84,Aaron Hawkins,CAN,West,Home Office,Office Supplies,Pens & Art Supplies,*Staples* Highlighting Markers
7189,46662,12/29/2011,48,3410.1575,0.1,1137.91,85.99,Aaron Hawkins,CAN,West,Home Office,Technology,Telephones and Communication,Accessory34
7211,48294,5/26/2010,43,4072.01,0.01,1675.98,90.24,Aaron Hawkins,CAN,West,Home Office,Office Supplies,Appliances,Kensington 6 Outlet MasterPiece� HOMEOFFICE Power Control Center
8398,CA-2014-164000,12/19/2014,7,18.704,0.2,2.338,2.672,Aaron Hawkins,US,Pennsylvania,Corporate,Office Supplies,Art,Avery Fluorescent Highlighter Four-Color Set
8398,CA-2013-162747,3/21/2013,7,86.45,0,38.038,12.35,Aaron Hawkins,US,Mississippi,Corporate,Furniture,Furnishings,"Eldon Image Series Desk Accessories, Ebony"
8398,CA-2011-113768,5/13/2011,6,279.456,0.2,20.9592,46.576,Aaron Hawkins,US,California,Corporate,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h"
